Iteration,X1,X2,Y1,ID, Fitness
    0,   -0.2282,    -0.0733,    1.7091,    23,    0.3691
    1,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    2,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    3,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    4,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    5,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    6,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    7,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    8,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    9,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    10,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    11,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    12,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    13,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    14,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    15,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    16,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    17,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    18,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    19,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    20,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    21,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    22,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    23,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    24,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    25,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    26,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    27,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    28,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    29,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    30,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    31,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    32,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    33,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    34,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    35,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    36,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    37,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    38,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    39,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    40,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    41,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    42,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    43,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    44,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    45,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    46,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    47,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    48,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    49,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    50,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    51,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    52,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    53,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    54,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    55,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    56,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    57,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    58,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    59,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    60,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    61,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    62,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    63,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    64,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    65,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    66,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    67,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    68,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    69,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    70,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    71,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    72,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    73,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    74,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    75,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    76,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    77,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    78,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    79,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    80,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    81,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    82,   -0.0182,    0.0567,    0.2604,    23,    0.7934
    83,   -0.0182,    0.0567,    0.2604,    23,    0.7934
