Iteration,X1,X2,X3,Y1,Y2,ID, Fitness
    0,   1.8114,    -3.1621,    -2.9716,    -9.0233,    -0.6219,    1,    1.0000
    0,   3.1875,    2.6214,    2.2556,    -9.3881,    2.5852,    2,    1.0000
    0,   2.5429,    3.6742,    -2.1980,    -8.3389,    5.0247,    3,    0.4880
    0,   -0.3292,    0.9810,    0.9085,    -15.7841,    9.6016,    4,    1.0000
    0,   -4.0822,    -0.1197,    2.8979,    -10.0171,    6.4454,    5,    1.0000
    0,   3.0782,    -0.0030,    3.3653,    -10.5044,    3.2237,    6,    1.0000
    0,   3.7739,    -3.4519,    -4.6429,    -6.7395,    10.9099,    7,    0.2099
    0,   -0.3133,    -3.2186,    3.7303,    -8.9703,    5.9578,    8,    0.3946
    0,   -1.2617,    -3.6607,    0.3528,    -9.4024,    4.8333,    9,    0.4757
    0,   1.0029,    -4.7983,    -4.0160,    -6.6126,    9.5951,    10,    0.2044
    0,   -2.7036,    0.7658,    0.6248,    -13.9072,    3.1308,    11,    1.0000
    0,   4.7916,    -4.6012,    -2.5683,    -6.1342,    13.5741,    12,    0.1140
    0,   0.1573,    0.1612,    4.1732,    -13.8971,    1.5829,    13,    1.0000
    0,   -0.3184,    0.0335,    -3.7356,    -14.1169,    -1.6106,    14,    1.0000
    0,   1.1823,    2.1212,    -0.5749,    -12.5959,    7.0499,    15,    0.3967
    0,   2.0245,    2.4724,    -2.7541,    -10.0478,    8.9255,    16,    0.1973
    0,   1.3490,    -0.2275,    0.7858,    -16.0969,    7.8443,    17,    1.0000
    0,   -0.6101,    3.8872,    4.0021,    -7.8286,    14.3906,    18,    0.1325
    0,   3.4710,    -2.8753,    -4.9434,    -7.2460,    4.4246,    19,    0.1421
    0,   -1.7019,    -0.5508,    1.2820,    -14.5572,    11.7194,    20,    0.3938
    0,   -3.0972,    -3.4600,    3.4725,    -7.7021,    11.2821,    21,    0.1349
    0,   -3.1820,    -2.6255,    -4.7847,    -7.7390,    5.9839,    22,    0.1355
    0,   -4.7163,    -3.8738,    -0.5185,    -7.5268,    6.0243,    23,    0.1318
    0,   0.4662,    -2.0791,    4.8358,    -10.0199,    4.2072,    24,    0.1962
    0,   4.1921,    -0.9077,    1.5146,    -11.2655,    -4.5050,    25,    1.0000
    0,   4.0927,    3.5044,    -0.3399,    -8.3492,    -0.6640,    26,    0.2553
    0,   -0.6947,    1.7138,    -1.1331,    -13.5389,    -7.9647,    27,    1.0000
    0,   -1.8931,    4.6539,    0.4292,    -7.5880,    4.8927,    28,    0.1333
    0,   0.1982,    2.9065,    1.8785,    -10.5892,    3.2744,    29,    0.2209
    0,   1.6227,    -3.6794,    3.2741,    -8.2083,    1.9782,    30,    0.1580
    0,   -2.6249,    -3.1408,    -4.2880,    -7.8643,    14.9252,    31,    0.1237
    0,   -2.1088,    -2.2212,    -1.5065,    -11.2659,    11.2317,    32,    0.2279
    0,   -2.2081,    -0.6356,    -0.2532,    -15.0367,    6.4312,    33,    1.0000
    0,   -0.7902,    1.7408,    1.3462,    -13.2622,    0.2861,    34,    0.5392
    0,   2.7645,    -4.1172,    -3.1484,    -7.2556,    9.5781,    35,    0.1272
    0,   0.9500,    0.1978,    -0.2051,    -17.6820,    5.2911,    36,    1.0000
    0,   -2.5125,    4.3782,    -1.3798,    -7.6365,    8.8440,    37,    0.1337
    0,   0.3964,    3.9928,    2.7354,    -8.2806,    14.7201,    38,    0.0961
    0,   -2.5849,    3.7959,    -3.1138,    -7.7371,    12.4288,    39,    0.1229
    0,   -1.9567,    1.6198,    -0.5320,    -13.1275,    -6.1149,    40,    0.7085
    0,   -1.6633,    -1.3389,    4.8056,    -10.2115,    3.5926,    41,    0.2039
    0,   1.2073,    -1.9090,    -3.9383,    -10.5325,    12.5507,    42,    0.1227
    0,   4.1238,    1.3009,    -3.6865,    -8.7868,    16.2948,    43,    0.1011
    0,   -1.9789,    1.3008,    -0.8599,    -13.5481,    -0.0563,    44,    0.6375
    0,   4.9133,    -4.9046,    4.9730,    -4.9681,    9.9548,    45,    0.0985
    0,   2.5207,    0.3424,    3.7710,    -10.7016,    3.0067,    46,    0.2265
    0,   -1.4225,    4.2482,    -2.2913,    -7.8905,    12.4775,    47,    0.1222
    0,   -2.9164,    -0.8648,    -3.0577,    -10.7389,    5.8277,    48,    0.2284
    0,   -0.3461,    1.9787,    -2.1336,    -12.2794,    10.1732,    49,    0.1700
    0,   -2.0234,    -4.5239,    -1.0171,    -7.6674,    2.2084,    50,    0.1455
    0,   -3.3927,    4.7486,    2.7446,    -6.4512,    9.6454,    51,    0.1154
    0,   -4.7212,    -4.1269,    -1.9203,    -6.8770,    5.0669,    52,    0.1303
    0,   1.5406,    -3.4429,    2.7918,    -8.8240,    4.9057,    53,    0.1589
    0,   -4.2100,    1.8262,    3.8969,    -8.2226,    12.7510,    54,    0.1182
    0,   -1.5186,    4.4664,    -1.9226,    -7.6739,    9.0236,    55,    0.1344
    0,   4.4802,    0.4831,    3.8974,    -8.6199,    14.3875,    56,    0.0994
    0,   2.7623,    -0.1056,    -1.5465,    -13.0873,    10.4335,    57,    0.1787
    0,   -1.8848,    4.4657,    2.3716,    -7.4305,    12.8959,    58,    0.1162
