Iteration,X1,X2,Y1,ID, Fitness
    0,   0.3972,    4.1015,    10.5488,    1,    0.0866
    0,   3.1817,    2.4591,    10.6337,    2,    0.0860
    0,   3.8690,    -4.3524,    12.9002,    3,    0.0719
    0,   -2.0349,    1.3662,    7.4097,    4,    0.1189
    0,   -3.9900,    1.4748,    10.7542,    5,    0.0851
    0,   -4.8787,    -4.3276,    13.6300,    6,    0.0684
    0,   0.4836,    3.0053,    8.7120,    7,    0.1030
    0,   -4.5831,    -3.0657,    12.5233,    8,    0.0739
    0,   4.8709,    0.5573,    11.8365,    9,    0.0779
    0,   -3.8714,    -1.9843,    9.5847,    10,    0.0945
    0,   3.5193,    4.7901,    13.3997,    11,    0.0694
    0,   -1.9362,    -3.0437,    8.1459,    12,    0.1093
    0,   -4.8801,    -3.1848,    12.1882,    13,    0.0758
    0,   -2.3595,    -1.9627,    8.5766,    14,    0.1044
    0,   -4.5271,    4.8190,    14.1134,    15,    0.0662
    0,   2.0036,    -1.1433,    6.0366,    16,    0.1421
    0,   -4.6803,    -4.0385,    13.0602,    17,    0.0711
    0,   -4.1766,    -2.7728,    11.5339,    18,    0.0798
    0,   -1.6920,    3.9595,    10.4822,    19,    0.0871
    0,   1.4689,    2.0165,    7.6572,    20,    0.1155
    0,   4.2260,    0.9334,    10.1713,    21,    0.0895
    0,   -0.4682,    -0.6487,    4.4026,    22,    0.1851
    0,   -0.2282,    -0.0733,    1.7091,    23,    0.3691
    0,   0.5642,    4.7808,    11.8990,    24,    0.0775
    0,   -3.0767,    -2.2084,    9.2396,    25,    0.0977
    0,   4.5641,    4.5170,    14.2687,    26,    0.0655
    0,   -1.9351,    -2.7487,    8.7096,    27,    0.1030
    0,   -4.0302,    0.6071,    10.3744,    28,    0.0879
    0,   1.0378,    1.2254,    5.0252,    29,    0.1660
    0,   2.3392,    2.0537,    8.6116,    30,    0.1040
    0,   3.0071,    4.9278,    11.2949,    31,    0.0813
    0,   0.8934,    -3.8090,    9.4436,    32,    0.0958
    0,   4.4712,    1.2646,    11.7674,    33,    0.0783
    0,   -4.6473,    -0.4779,    11.9372,    34,    0.0773
    0,   2.1819,    3.1897,    9.6584,    35,    0.0938
    0,   3.6263,    -4.0886,    12.4081,    36,    0.0746
    0,   4.0884,    -0.8878,    9.4121,    37,    0.0960
    0,   -1.2103,    -2.4141,    8.3305,    38,    0.1072
    0,   0.2583,    3.7124,    10.0356,    39,    0.0906
    0,   2.1845,    0.1932,    6.5969,    40,    0.1316
    0,   1.2511,    -2.1403,    7.2631,    41,    0.1210
    0,   -3.8860,    2.6813,    11.2777,    42,    0.0814
    0,   -4.7452,    2.4866,    12.7443,    43,    0.0728
    0,   -4.2082,    3.0684,    11.3490,    44,    0.0810
    0,   4.9917,    0.2163,    11.0215,    45,    0.0832
    0,   1.1894,    2.0827,    6.6126,    46,    0.1314
    0,   -3.3797,    4.4152,    13.1562,    47,    0.0706
    0,   4.0094,    4.2982,    12.5891,    48,    0.0736
    0,   -4.9599,    -1.6592,    11.9337,    49,    0.0773
    0,   -0.1198,    3.5072,    9.6684,    50,    0.0937
    0,   -0.4260,    -3.9579,    10.2917,    51,    0.0886
    0,   -2.4011,    -1.2664,    8.4618,    52,    0.1057
    0,   -0.8346,    3.6528,    9.9776,    53,    0.0911
    0,   -4.5714,    3.9527,    13.1817,    54,    0.0705
    0,   3.4617,    3.3840,    12.2087,    55,    0.0757
    0,   -4.6511,    2.3254,    12.5369,    56,    0.0739
    0,   4.0408,    -2.8540,    10.5847,    57,    0.0863
    0,   -4.1973,    0.1474,    10.0866,    58,    0.0902
    0,   3.8138,    3.2121,    11.4701,    59,    0.0802
    0,   -4.0638,    -3.0154,    10.3342,    60,    0.0882
    0,   0.4729,    -2.7156,    8.6259,    61,    0.1039
    0,   -0.4696,    -3.0344,    8.7656,    62,    0.1024
    0,   -2.9998,    -3.4564,    11.2296,    63,    0.0818
    0,   4.2911,    4.6733,    13.8664,    64,    0.0673
    0,   0.1028,    -0.5085,    3.2283,    65,    0.2365
    0,   -2.4542,    -3.0825,    10.3065,    66,    0.0884
    0,   -1.1678,    3.6773,    10.1020,    67,    0.0901
    0,   -4.3808,    0.2090,    11.1743,    68,    0.0821
    0,   -4.7392,    2.3804,    12.6004,    69,    0.0735
    0,   -1.4841,    -3.3979,    10.4725,    70,    0.0872
    0,   2.0580,    -3.1609,    8.9060,    71,    0.1009
    0,   4.6067,    -3.3923,    13.3551,    72,    0.0697
    0,   -0.1326,    3.8640,    9.1982,    73,    0.0981
    0,   3.0418,    4.4743,    12.4236,    74,    0.0745
    0,   3.6125,    -1.1380,    10.0674,    75,    0.0904
    0,   -4.5156,    -3.1720,    12.7847,    76,    0.0725
    0,   -2.5954,    -2.1044,    9.2663,    77,    0.0974
    0,   -1.9657,    -2.7104,    8.8209,    78,    0.1018
    0,   1.5117,    -4.3667,    11.8794,    79,    0.0776
    0,   -3.2666,    -2.3782,    10.7622,    80,    0.0850
    0,   4.3617,    -4.2447,    13.5248,    81,    0.0688
    0,   -1.1501,    -1.0298,    4.4488,    82,    0.1835
    0,   0.8382,    3.4314,    9.7560,    83,    0.0930
    0,   -1.5068,    -4.6365,    12.2438,    84,    0.0755
    0,   -3.4732,    0.5937,    10.1642,    85,    0.0896
    0,   -0.1135,    -3.5666,    9.7195,    86,    0.0933
    0,   -0.3038,    4.3341,    11.2412,    87,    0.0817
    0,   -0.0735,    -1.3662,    5.1158,    88,    0.1635
    0,   -2.3223,    -2.0773,    8.5963,    89,    0.1042
    0,   2.0982,    -1.8638,    7.1836,    90,    0.1222
    0,   -1.4982,    4.8167,    12.1751,    91,    0.0759
    0,   -3.9392,    -3.7592,    11.8215,    92,    0.0780
    0,   -0.9929,    -4.2822,    10.4869,    93,    0.0871
    0,   4.5129,    -4.0634,    13.2817,    94,    0.0700
    0,   0.6430,    3.3296,    9.7612,    95,    0.0929
    0,   3.6973,    4.6276,    13.4636,    96,    0.0691
    0,   0.6471,    -4.1058,    10.5110,    97,    0.0869
    0,   -2.7597,    1.3027,    8.8524,    98,    0.1015
    0,   2.9892,    0.6365,    8.5494,    99,    0.1047
    0,   0.7695,    1.4360,    6.1630,    100,    0.1396
    1,   0.3972,    4.1015,    10.5488,    1,    0.0866
    1,   3.1817,    2.4591,    10.6337,    2,    0.0860
    1,   1.6122,    -1.4600,    7.5930,    3,    0.1164
    1,   -2.0349,    1.3662,    7.4097,    4,    0.1189
    1,   -3.9900,    1.4748,    10.7542,    5,    0.0851
    1,   2.2641,    3.2817,    10.4712,    6,    0.0872
    1,   0.4836,    3.0053,    8.7120,    7,    0.1030
    1,   -2.4580,    1.3193,    8.7384,    8,    0.1027
